#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
bucky;Bucky O'Hare (ver EAB);mame;;1992;Konami;Shooter / Walking;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
captaven;Captain America and The Avengers (Asia Rev 1.4);mame;;1991;Data East Corporation;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
captcomm;Captain Commando (World 911202);mame;;1991;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
carpolo;Car Polo;mame;;1977;Exidy;Sports / Misc.;4P sim;0;dial,dial,dial,dial;preliminary;1;raster;;;;3;;;0;;1
checkmat;Checkmate;mame;;1977;Dave Nutting Associates / Midway;Maze / Surround;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;0;;;0;;1
comotion;CoMotion;mame;;1976;Gremlin;Maze / Surround;4P sim;0;joystick (4-way),joystick (4-way),joystick (4-way),joystick (4-way);imperfect;1;raster;;;;0;;;0;;1
copsnrob;Cops'n Robbers;mame;;1976;Atari;Shooter / Versus;4P sim;0;positional,positional,positional,positional;imperfect;1;raster;;;;2;;;0;;1
cyberbal;Cyberball (rev 4);mame;;1988;Atari Games;Sports / Football;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;2;raster;;;;1;;;0;;1
cyclwarr;Cycle Warriors (rev C);mame;;1991;Tatsumi;Fighter / Driving Vertical;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;;;;3;;;0;;1
demoderb;Demolition Derby;mame;;1984;Bally Midway;Driving / Demolition Derby;4P sim;0;dial,dial,dial,dial;good;1;raster;;;;2;;;0;;1
dsoccr94;Dream Soccer '94 (World, M107 hardware);mame;;1994;Irem (Data East Corporation license);Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
ddsom;Dungeons & Dragons: Shadow over Mystara (Euro 960619);mame;;1996;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
ddtod;Dungeons & Dragons: Tower of Doom (Euro 940412);mame;;1993;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
dunkmnia;Dunk Mania (World, DM2/VER.C);mame;;1995;Namco;Sports / Basketball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
dunkshot;Dunk Shot (Rev C, FD1089A 317-0022);mame;;1987;Sega;Sports / Basketball;4P sim;0;trackball,trackball,trackball,trackball;good;1;raster;;;;2;;;0;;1
dynablst;Dynablaster / Bomber Man;mame;;1991;Irem (licensed from Hudson Soft);Maze / Defeat Enemies;4P sim;0;joystick (4-way),joystick (4-way),joystick (4-way),joystick (4-way);good;1;raster;;;;2;;;0;;1
embargo;Embargo;mame;;1977;Cinematronics;Maze / Surround;4P sim;0;dial,dial,dial,dial;preliminary;1;raster;;;;1;;;0;;1
esckids;Escape Kids (Asia, 4 Players);mame;;1991;Konami;Sports / Track & Field;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
euroch92;Euro Champ '92 (World);mame;;1992;Taito Corporation Japan;Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
exvania;Exvania (World);mame;;1992;Namco;Maze / Fighter;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
fsoccer;Fighting Soccer (version 4);mame;;1988;SNK;Sports / Soccer;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),dial;good;1;raster;;;;2;;;0;;1
fball;Fire Ball (FM Work);mame;;1992;FM Work;Maze / Defeat Enemies;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
footchmp;Football Champ / Euro Football Champ (World);mame;;1990;Taito Corporation Japan;Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gijoe;G.I. Joe (World, EAB, set 1);mame;;1992;Konami;Shooter / 3rd Person;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
gauntlet;Gauntlet (rev 14);mame;;1985;Atari Games;Maze / Shooter Large;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
